Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21, C27, C3, C8",0805,5,10μF,
"C10, C11, C12, C15, C18, C19, C2, C20, C22, C24, C25, C26, C28, C30, C31, C32, C33, C4, C5",0402,19,100nF,
"C13, C14, C16, C17, C29, C6, C7",0402,7,1μF,
C23,0805,1,47μF,
C9,0805,1,22μF,
CARD1,PCIE-SMD_PCIE-52P40H-3.5,1,PCIE-52P40H,C266898
CN3,FPC-SMD_40P-P0.50_L5.9-W24.4,1,KH-FG0.5-H2.0-40PIN,C2797220
J1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery_JST_PH2,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"J3, J4",PinSocket_1x03_P2.54mm_Vertical,2,Conn_01x03,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
L1,1210,1,2.2μH 4A,
L2,1210,1,1μH 5A,
"LED1, LED2, LED3, LED4",LED-SMD_L1.6-W0.8-R-RD,4,KT-0603R,C2286
MODULE1,Raspberry-Pi-5-Compute-Module,1,ComputeModule5-CM5,
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,LBSS138LT1G,C8490
Q2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,AO3407A,C15155
R1,0402,1,53.6kΩ,
"R10, R13, R14, R28, R29, R3, R32",0402,7,10kΩ,
"R11, R16, R25, R4, R5",0402,5,100kΩ,
R12,0402,1,47kΩ,
"R15, R17",0402,2,5.1kΩ,
"R18, R21, R22, R8, R9",0402,5,10k,
"R19, R20",0402,2,4.7kΩ,
R23,0402,1,22Ω,
R26,0402,1,1kΩ,
R27,0402,1,470Ω,
"R30, R31",0402,2,680Ω,
R6,0402,1,825kΩ,
R7,0402,1,180kΩ,
"RF1, RF2",IPEX-SMD_3P-L2.6-W2.6-LS3.0_RF1200001R,2,IPEX-1_C47986640,C47986640
SIM1,SIM-SMD_NANO-SIM-7P-H1.37,1,NANO SIM 7P H1.37,C7529384
"SW1, SW2, SW3",SW_PUSH_6mm_H5mm,3,SW_Push,
"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint_Pad_D1.5mm,6,TestPoint,
U1,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,
U2,VQFN-9_L2.5-W2.5-P0.50-TL,1,TPS61235PRWLR,C544673
U3,MLP-14_L2.5-W2.5-P0.50-BL-EP,1,FUSB302BMPX,C132291
U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SGM2036-3.3YN5G/TR,C92402
U5,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,SGM2036-1.8YN5G/TR,C700371
U6,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357AETE+T,C910544
USB1,USB-C-SMD_TYPE-C16PIN,1,TYPE-C 16PIN 3MD,C2858270
USB2,USB-C-SMD_TYPE-C-24P-QT,1,HMT-TYPE-C-24PIN,C53121393
