Designator,Mid X,Mid Y,Rotation,Layer
C1,79.75,-110.25,180.0,top
C10,81.25,-125.75,180.0,top
C11,75.01,-123.5,0.0,top
C12,77.5,-172.25,180.0,top
C13,85.75,-176.75,0.0,top
C14,82.0,-179.75,0.0,top
C15,81.5,-170.0,0.0,top
C16,89.25,-170.75,0.0,top
C17,93.7462,-172.6608,0.0,top
C18,93.75,-174.75,0.0,top
C19,84.0,-106.0,0.0,top
C2,84.0,-107.25,0.0,top
C20,84.0,-104.75,0.0,top
C21,147.75,-155.5,0.0,top
C22,147.75,-157.75,0.0,top
C23,93.0,-112.0,90.0,top
C24,90.5,-112.5,90.0,top
C25,77.5,-174.75,180.0,top
C26,92.23,-170.75,0.0,top
C27,82.0,-177.75,0.0,top
C28,77.5,-177.75,180.0,top
C29,85.25,-179.75,180.0,top
C3,70.75,-119.5,180.0,top
C30,89.25,-179.75,0.0,top
C31,83.5,-44.25,90.0,top
C32,140.75,-45.75,90.0,top
C33,139.0,-37.25,90.0,top
C4,90.5,-110.5,90.0,top
C5,88.5,-108.0,0.0,top
C6,86.25,-107.0,0.0,top
C7,86.2474,-108.0048,0.0,top
C8,70.75,-123.0,180.0,top
C9,81.25,-123.0,0.0,top
CARD1,129.35,-88.55,270.0,top
CN3,108.75,-177.14,0.0,top
J1,140.0,-175.05,180.0,top
J2,133.005,-125.5,270.0,top
J3,149.5,-129.725,270.0,top
J4,149.515,-134.725,90.0,top
J5,140.5,-116.21,0.0,top
L1,91.75,-107.5,0.0,top
L2,80.75,-118.25,0.0,top
LED1,81.5,-29.0,0.0,top
LED2,87.5,-29.0,0.0,top
LED3,93.75,-29.0,0.0,top
LED4,102.5,-29.0,0.0,top
MODULE1,92.55,-131.54,270.0,top
Q1,136.0,-154.0,180.0,top
Q2,87.5,-126.75,180.0,top
R1,85.5,-116.0,180.0,top
R10,117.25,-137.5,0.0,top
R11,76.0,-116.25,0.0,top
R12,73.5,-116.25,180.0,top
R13,141.5,-154.8,180.0,top
R14,140.51,-152.8,0.0,top
R15,146.75,-144.25,270.0,top
R16,132.0,-154.05,180.0,top
R17,140.5,-150.0,180.0,top
R18,114.5,-124.25,180.0,top
R19,108.0,-137.25,180.0,top
R20,107.0,-135.75,180.0,top
R21,114.0,-137.25,0.0,top
R22,119.25,-125.25,0.0,top
R23,135.5551,-79.1147,90.0,top
R25,130.0,-141.25,180.0,top
R26,83.0,-31.25,0.0,top
R27,89.0,-31.75,0.0,top
R28,104.0,-136.0,180.0,top
R29,121.75,-125.25,0.0,top
R3,116.25,-125.5,0.0,top
R30,95.25,-31.5,0.0,top
R31,104.0,-31.75,0.0,top
R32,140.75,-37.25,270.0,top
R4,77.0,-121.75,0.0,top
R5,77.75,-120.25,270.0,top
R6,77.26,-123.5,180.0,top
R7,76.0,-125.5,180.0,top
R8,87.5,-116.0,180.0,top
R9,87.5,-117.5,0.0,top
RF1,147.42,-90.3,270.0,top
RF2,153.42,-90.25,270.0,top
SIM1,147.01,-76.5,90.0,top
SW1,73.25,-46.0,0.0,top
SW2,149.5,-47.5,0.0,top
SW3,149.5,-39.0,0.0,top
U1,85.75,-111.4625,0.0,top
U2,75.5,-119.75,0.0,top
U3,75.5,-113.25,0.0,top
U4,82.25,-173.75,180.0,top
U5,89.605,-173.81,0.0,top
U6,128.75,-138.25,0.0,top
USB1,71.345,-102.5,270.0,top
USB2,151.43,-149.0,90.0,top
